Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.010276,0.0,30.9,85.376758
2,0.003659,0.0,30.9,127.527144
3,0.003401,0.0,30.9,154.683844
4,0.003651,25.0,30.9,172.480888
5,0.004066,0.0,30.9,178.540281
6,0.003688,44.4,30.9,188.147253
7,0.003469,0.0,30.9,196.669020
8,0.003656,0.0,30.9,201.944137
9,0.003404,16.7,30.9,207.896109
10,0.004239,0.0,30.9,209.087936
11,0.003167,20.0,30.9,215.057422
12,0.004412,0.0,30.9,213.649012
13,0.004711,0.0,30.9,212.802473
14,0.003458,16.7,30.9,216.168605
15,0.003645,0.0,30.9,216.463820
16,0.005322,20.0,30.9,216.128823
17,0.003868,0.0,30.9,216.363936
18,0.008915,14.3,30.9,204.801667
19,0.005337,27.3,30.9,202.646052
20,0.003834,0.0,30.9,204.668584
21,0.003076,0.0,30.9,207.778899
22,0.004636,12.5,30.9,207.172627
23,0.003737,0.0,30.9,208.755379
24,0.004642,22.2,30.9,208.418231
25,0.003912,0.0,30.9,209.320004
26,0.005002,22.2,30.9,208.134578
27,0.004447,0.0,30.9,208.322525
28,0.004051,14.3,30.9,208.845879
29,0.005440,0.0,30.9,208.119854
30,0.004114,25.0,30.9,208.141305
31,0.003349,0.0,30.9,209.876670
32,0.003532,14.3,30.9,211.031509
33,0.005535,0.0,30.9,209.264014
34,0.004097,25.0,30.9,209.914619
35,0.003068,0.0,30.9,211.801444
36,0.004184,0.0,30.9,212.658752
37,0.004976,30.0,30.9,211.274635
38,0.008795,0.0,30.9,206.165091
39,0.005100,0.0,30.9,205.332148
40,0.004431,33.3,30.9,205.740297
41,0.004068,0.0,30.9,206.189115
42,0.004071,0.0,30.9,206.696933
43,0.004358,0.0,30.9,206.702392
44,0.004304,36.4,30.9,207.064771
45,0.003587,0.0,30.9,207.997602
46,0.003164,0.0,30.9,209.312501
47,0.008453,7.7,30.9,205.530254
48,0.004234,25.0,30.9,205.904887
49,0.005121,0.0,30.9,205.394578
50,0.003737,33.3,30.9,206.111141
51,0.004038,0.0,30.9,206.571466
52,0.004102,14.3,30.9,206.962794
53,0.004782,0.0,30.9,206.397267
54,0.004176,0.0,30.9,206.850323
55,0.004360,25.0,30.9,207.404898
56,0.003475,0.0,30.9,207.921322
57,0.004295,22.2,30.9,208.006264
58,0.004353,0.0,30.9,208.108637
59,0.005015,33.3,30.9,207.728575
60,0.004966,0.0,30.9,207.363867
61,0.005331,22.2,30.9,206.793312
62,0.004802,0.0,30.9,206.617274
63,0.008819,18.2,30.9,203.959968
64,0.004348,40.0,30.9,203.834418
65,0.004398,0.0,30.9,203.953818
66,0.005840,20.0,30.9,203.004665
67,0.004358,0.0,30.9,203.244443
68,0.003720,14.3,30.9,204.150887
69,0.004390,0.0,30.9,203.899484
70,0.005050,11.1,30.9,203.606143
71,0.003615,0.0,30.9,204.252454
72,0.004478,30.0,30.9,204.320016
73,0.005428,0.0,30.9,203.689073
74,0.003728,14.3,30.9,204.297990
75,0.003911,0.0,30.9,204.690459
76,0.004896,12.5,30.9,204.662198
77,0.010136,6.7,30.9,201.356550
78,0.005347,0.0,30.9,200.992512
79,0.005126,46.2,30.9,200.756018
80,0.004100,0.0,30.9,201.057296
81,0.003794,40.0,30.9,201.411573
82,0.004050,0.0,30.9,201.990421
83,0.004803,14.3,30.9,201.677735
84,0.004827,0.0,30.9,201.589926
85,0.004071,0.0,30.9,201.794642
86,0.007600,16.7,30.9,200.350336
87,0.004126,25.0,30.9,200.645559
88,0.004629,0.0,30.9,200.639457
89,0.004172,30.0,30.9,200.844745
90,0.003918,0.0,30.9,201.456276
91,0.003740,14.3,30.9,201.669261
92,0.013166,10.0,30.9,197.897493
93,0.004693,0.0,30.9,197.896622
94,0.005129,30.0,30.9,197.717631
95,0.004286,0.0,30.9,197.897000
96,0.004093,25.0,30.9,198.183501
97,0.005888,0.0,30.9,197.609192
98,0.005115,30.0,30.9,197.683820
99,0.005277,11.1,30.9,197.257868
100,0.004711,0.0,30.9,197.277820
101,0.003654,0.0,30.9,197.671801
102,0.004489,30.0,30.9,197.814980
103,0.003571,0.0,30.9,198.274747
104,0.005233,22.2,30.9,198.002226
105,0.004995,0.0,30.9,197.964232
106,0.004223,14.3,30.9,198.366662
107,0.004200,0.0,30.9,198.322412
108,0.005288,22.2,30.9,198.101673
109,0.005026,0.0,30.9,197.945523
110,0.004934,12.5,30.9,197.905546
111,0.003636,0.0,30.9,198.302279
112,0.004234,33.3,30.9,198.419212
113,0.004084,0.0,30.9,198.672607
114,0.004156,45.5,30.9,198.648889
115,0.004160,0.0,30.9,198.890785
