Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.021296,0.0,25.8,44.182659
2,0.004514,0.0,25.8,72.401719
3,0.006094,25.0,25.8,88.182941
4,0.005353,62.5,25.8,100.813104
5,0.004013,0.0,25.8,114.911809
6,0.005712,58.8,25.8,119.923488
7,0.005077,0.0,25.8,127.456558
8,0.003742,50.0,25.8,134.669679
9,0.005172,0.0,25.8,138.200355
10,0.004589,25.0,25.8,142.941992
11,0.003970,0.0,25.8,148.264346
12,0.004019,16.7,25.8,152.725631
13,0.005163,0.0,25.8,154.239866
14,0.004708,53.8,25.8,156.904506
15,0.004847,0.0,25.8,158.382008
16,0.004989,57.1,25.8,159.693657
17,0.005546,0.0,25.8,160.409189
18,0.004855,25.0,25.8,161.817284
19,0.004149,0.0,25.8,164.218811
20,0.004840,33.3,25.8,165.590995
21,0.003927,0.0,25.8,167.845373
22,0.004926,53.8,25.8,168.863324
23,0.004776,0.0,25.8,169.562445
24,0.003836,58.3,25.8,172.092838
25,0.004183,0.0,25.8,173.585468
26,0.004803,33.3,25.8,174.893837
27,0.004849,0.0,25.8,175.523540
28,0.006188,64.7,25.8,174.062273
29,0.004060,0.0,25.8,175.469081
30,0.005061,56.2,25.8,175.841651
31,0.004430,0.0,25.8,176.741506
32,0.004206,40.0,25.8,177.857102
33,0.004415,0.0,25.8,178.663717
34,0.004434,53.8,25.8,179.409279
35,0.005489,0.0,25.8,179.201094
36,0.005135,40.0,25.9,179.186542
37,0.005305,0.0,25.9,179.233410
38,0.005035,45.5,25.9,179.456275
39,0.005416,0.0,25.9,179.252600
40,0.004856,33.3,25.9,179.673557
41,0.003993,0.0,25.9,180.729115
42,0.004434,25.0,25.9,181.301014
43,0.004981,0.0,25.9,181.414533
44,0.007733,20.0,25.9,179.439827
45,0.005427,53.3,25.9,179.198663
46,0.005635,0.0,25.9,178.888941
47,0.005659,20.0,25.9,178.967937
48,0.006280,46.7,25.9,177.725844
49,0.005183,0.0,25.9,177.885495
50,0.006047,33.3,25.9,177.399263
51,0.006351,11.1,25.9,176.779893
52,0.004731,0.0,25.9,177.143026
53,0.004643,25.0,25.9,177.840481
54,0.004902,0.0,25.9,177.757803
55,0.004586,25.0,25.9,178.476050
56,0.005085,0.0,25.9,178.256169
57,0.005167,36.4,25.9,178.225425
58,0.005230,0.0,25.9,178.265481
59,0.005393,22.2,25.9,178.124900
60,0.005646,0.0,25.9,177.941266
61,0.007203,12.5,25.9,176.944254
62,0.004243,68.4,25.9,177.504563
63,0.005463,0.0,25.9,177.277736
64,0.005219,50.0,25.9,177.298637
65,0.005483,0.0,25.9,177.216202
66,0.005141,30.0,25.9,177.125004
67,0.005770,11.1,25.9,176.845106
68,0.007145,0.0,25.9,176.134073
69,0.004371,25.0,25.9,176.515995
70,0.005533,0.0,25.9,176.460362
71,0.004618,30.0,25.9,176.610862
72,0.005247,0.0,25.9,176.593496
73,0.005003,33.3,25.9,176.824203
74,0.004718,0.0,25.9,176.852332
75,0.004818,12.5,25.9,177.134198
76,0.004951,14.3,25.9,177.260938
77,0.004988,0.0,25.9,177.377546
78,0.006191,61.9,25.9,177.029342
79,0.005016,0.0,25.9,177.162300
80,0.004987,12.5,25.9,177.163696
81,0.005811,0.0,25.9,176.947661
82,0.005485,30.0,25.9,176.906489
83,0.005296,33.3,25.9,176.910010
84,0.004355,0.0,25.9,177.285378
85,0.004724,25.0,25.9,177.512545
86,0.005033,0.0,25.9,177.472737
87,0.005452,63.2,25.9,177.634942
88,0.005114,0.0,25.9,177.559908
89,0.005544,20.0,25.9,177.632141
90,0.004781,0.0,25.9,177.623306
91,0.004619,25.0,25.9,177.833635
92,0.005395,0.0,25.9,177.773054
93,0.005152,25.0,25.9,177.883032
94,0.003741,0.0,25.9,178.428438
95,0.005309,22.2,25.9,178.405823
96,0.004658,0.0,25.9,178.604683
97,0.004226,25.0,25.9,178.956144
98,0.004646,0.0,25.9,179.167974
99,0.005624,28.6,25.9,179.033783
100,0.004184,0.0,25.9,179.402309
101,0.004187,25.0,25.9,179.738166
102,0.003770,0.0,25.9,180.232441
103,0.003991,28.6,25.9,180.613915
104,0.004549,0.0,25.9,180.825313
105,0.003580,61.5,25.9,181.348720
106,0.004129,0.0,25.9,181.671541
107,0.004170,0.0,25.9,182.003840
108,0.003677,16.7,25.9,182.452196
109,0.004228,0.0,25.9,182.755568
110,0.004907,16.7,25.9,182.806064
111,0.004411,0.0,25.9,183.189522
112,0.004251,14.3,25.9,183.318556
113,0.004463,0.0,25.9,183.517223
114,0.004407,37.5,25.9,183.743041
115,0.004862,0.0,25.9,183.771463
116,0.004681,40.0,25.9,183.932953
117,0.003827,0.0,25.9,184.294803
118,0.005824,66.7,25.9,184.072223
119,0.005237,0.0,25.9,184.005055
120,0.004929,25.0,25.9,184.064036
121,0.004354,0.0,25.9,184.425174
